X,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
-10738847.9755,3734620.9743,72105,304027,UNKNOWN304027,WORTHAM,TX,76693,SUBSTATION,IN SERVICE,FREESTONE,48161,USA,31.7811778830001,-96.4687127019999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018/08/06 00:00:00+00,UNVERIFIED,2018/08/06 00:00:00+00,2,-999999.0,-999999.0,N,N
-10595417.0434,3450742.3761,72107,304029,ELLINGTON,HOUSTON,TX,77598,SUBSTATION,IN SERVICE,HARRIS,48201,USA,29.588329007,-95.180250717,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2017/05/02 00:00:00+00,IMAGERY,2017/05/02 00:00:00+00,3,138.0,69.0,Y,Y
-11157150.2754,3913837.431,72110,304032,UNKNOWN304032,ASPERMONT,TX,79502,SUBSTATION,IN SERVICE,STONEWALL,48433,USA,33.1395188320001,-100.226386196,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/04/11 00:00:00+00,IMAGERY,2017/04/11 00:00:00+00,6,138.0,69.0,N,N
-10596417.855,3467149.945,72111,304033,DAVSON,PASADENA,TX,77506,SUBSTATION,IN SERVICE,HARRIS,48201,USA,29.7164186950001,-95.189241161,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2015/08/27 00:00:00+00,IMAGERY,2015/08/27 00:00:00+00,1,138.0,69.0,Y,Y
-10987056.3601,3069220.6586,72112,304034,JACKIE HOWARD,RIO GRANDE CITY,TX,78582,SUBSTATION,IN SERVICE,STARR,48427,USA,26.5649363790001,-98.698406558,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/03/14 00:00:00+00,IMAGERY,2017/03/14 00:00:00+00,1,345.0,345.0,N,N
-10674279.7979,3675575.8247,72116,304038,UNKNOWN304038,CENTERVILLE,TX,75833,SUBSTATION,IN SERVICE,LEON,48289,USA,31.329196853,-95.888686894,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/12/22 00:00:00+00,IMAGERY/OTHER,2017/12/22 00:00:00+00,3,138.0,-999999.0,Y,N
-10904873.1748,3238884.9197,72117,304039,UNKNOWN304039,ORANGE GROVE,TX,78372,SUBSTATION,NOT AVAILABLE,JIM WELLS,48249,USA,27.9199488890001,-97.9601424429999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/05/31 00:00:00+00,IMAGERY,2017/05/31 00:00:00+00,1,138.0,69.0,Y,Y
-10603262.0363,3465778.1452,72118,304040,UNKNOWN304040,HOUSTON,TX,77017,SUBSTATION,IN SERVICE,HARRIS,48201,USA,29.705715653,-95.250723487,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/08/20 00:00:00+00,IMAGERY,2015/08/20 00:00:00+00,2,138.0,69.0,Y,Y
-11236198.224,4244598.625,72120,304042,UNKNOWN304042,PAMPA,TX,79065,NOT AVAILABLE,NOT AVAILABLE,GRAY,48179,USA,35.591804,-100.936486,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018/09/24 00:00:00+00,UNVERIFIED,2018/09/24 00:00:00+00,3,-999999.0,-999999.0,N,N
-10879689.1603,3543553.3665,72121,304043,CENTRAL AUSTIN,AUSTIN,TX,78751,SUBSTATION,IN SERVICE,TRAVIS,48453,USA,30.3107239560001,-97.733910592,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2017/05/03 00:00:00+00,IMAGERY,2017/05/03 00:00:00+00,2,138.0,69.0,N,N
